size,address,rate,status,bathrooms,floor,balconies,security_deposit,facing,status.1,rera_id,ownership_type,booking_amount,overlooking,bedroom,type1,type2,price_in_lakh,carpet_area,age_of_property,floor,total_floor,additional_rooms,price_negotiable,balconies,type_of_sale,booking_amount_in_lakh,amenities_sports_facility,amenities_shopping_mall,amenities_maintenance_staff,amenities_jogging_track,amenities_atm,amenities_gymnasium,amenities_indoor_games,amenities_rain_water_harvesting,amenities_swimming_pool,amenities_intercom,amenities_cafeteria,amenities_full_power_backup,amenities_lift,amenities_childrens_play_area,amenities_car_parking,amenities_landscaped_gardens,amenities_24_x_7_security,amenities_club_house,amenities_staff_quarter,amenities_hospital,amenities_multipurpose_room,amenities_vaastu_compliant,amenities_golf_course,amenities_school,furnish_detail_gas_connection,furnish_detail_ac,furnish_detail_bed,furnish_detail_dining_table,furnish_detail_washing_machine,furnish_detail_tv,furnish_detail_microwave,furnish_detail_wardrobe,furnish_detail_sofa,furnish_detail_wifi,furnish_detail_refrigerator
1545,"extension, noida, noida",9385.0,Under Construction,3.0,,,No Deposit,East,Semi-Furnished,UPRERAPRJ145736,,,,3,BHK,Apartment,145.0,1100.0,,,,,No,,New,,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,,,,,,,,,,,
1252,"sector 82, noida",9584.0,Ready to move,2.0,,,No Deposit,NorthEast,Semi-Furnished,Rera Not Applicable,,,,3,BHK,Apartment,120.0,1250.0,9,,,,No,,Resale,,True,False,True,False,True,False,True,True,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,,,,,,,,,,,
2012,"sector 100, noida",,Ready to move,2.0,,,No Deposit,NorthWest,Semi-Furnished,UPRERAPRJ6450,,,,3,BHK,Apartment,,1812.0,4,,,,No,,Resale,,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False
1430,"sector 151, noida",6643.0,Ready to move,4.0,,,No Deposit,South,Unfurnished,UPRERAPRJ3824,,,,4,BHK,Apartment,95.0,1287.0,6,,,,No,,Resale,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
1860,"extension, noida, noida",11559.0,Ready to move,3.0,,,No Deposit,NorthEast,Semi-Furnished,,,,,3,BHK,Apartment,215.0,,,,,,No,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,"sector 72, noida",16416.0,Under Construction,1.0,,,No Deposit,East,Semi-Furnished,UPRERAPRJ246070,,,,1,BHK,Apartment,142.0,700.0,,,,,No,,New,,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,,,,,,,,,,,
1095,"sector 107, noida",5342.0,Ready to move,2.0,,,No Deposit,NorthEast,Semi-Furnished,,,,,2,BHK,Apartment,58.5,950.0,,,,,No,,New,,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,
1075,"sector 120, noida",7441.0,Ready to move,2.0,,,No Deposit,SouthEast,Semi-Furnished,,,,,2,BHK,Apartment,80.0,,5,,,,No,,Resale,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,,,,,,,,,,,
1375,"yamuna expressway, noida, noida",5963.0,Ready to move,3.0,,,No Deposit,West,Semi-Furnished,UPRERAPRJ6801,,,,3,BHK,Apartment,82.0,,2,,,,No,,Resale,,True,False,False,False,False,True,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1600,"extension, noida, noida",8000.0,Under Construction,3.0,,,No Deposit,,Semi-Furnished,,,,,3,BHK,Apartment,128.0,1200.0,,,,,No,,Resale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
